id,pose rmsd,pocket rmsd,qs score,lddt-pli
1Q8UA,6.035947615030077,6.852929651881169,0.6685228282989559,0.6801460260577353
1REKA,4.74999517668179,7.19071576360177,0.6671136187139945,0.678736816472774
2BUJA,6.208742590451977,7.414090092891466,0.6799575558419664,0.6915807536007458
2CMWA,5.035500262921393,6.907000145082509,0.6893714575620796,0.700994655320859
2GNHA,4.690496742980235,6.739983483970209,0.6750124078124594,0.6866356055712388
2HZ4A,5.795205474999989,5.692166768538754,0.704058289408476,0.7156814871672554
2HZ4C,5.720096723262686,7.35875825063294,0.6769123725812811,0.6885355703400605
2QLQA,4.8445057325764305,6.664085271189042,0.6415984868783874,0.6532216846371668
2RG6A,5.800416544295152,8.833279587584837,0.6511192406956471,0.6627424384544265
2VO0A,,,,
2VO7A,5.653802430463,8.302582397924454,0.6698168044887997,0.6814400022475791
2VWBA,6.042296420426896,4.784729104241531,0.691267611608014,0.7028908093667934
2VWBB,4.982988682582458,6.338226399269925,0.6502148137269506,0.66183801148573
2XYNB,,,,
2XYNC,4.960086584390709,5.500008491525491,0.6452082900426176,0.656831487801397
2YA9A,,,,
2YA9B,,,,
2YISA,5.246572850197307,4.969683113629978,0.6720950676299782,0.6837182653887576
2YIWA,5.102874865277115,5.224979774932523,0.6545476403849748,0.6661708381437542
3A2CA,5.095645555869104,4.954260566260332,0.6763993716819733,0.6880225694407527
3A2CB,5.7022129579645044,5.61985176733535,0.6784368041138316,0.690060001872611
3A2CC,4.519269976904483,3.623327467983171,0.6724350597443259,0.6840582575031053
3PYYA,5.964715912568582,6.412300456152271,0.641166073535718,0.6527892712944974
3PYYB,5.396241995646644,7.591405216135312,0.7095253366131965,0.7211485343719759
3Q6UA,4.687799128861586,5.428846162409022,0.6872324692279362,0.6988556669867156
3ROCA,,,,
3TKUA,,,,
3TKUB,,,,
3UTOB,5.790847482936372,4.606998846468937,0.6315755889386315,0.6431987866974109
3W8LB,6.072394688736641,11.894620496762595,0.6772104259004704,0.6888336236592498
3ZOSA,5.205407285782504,6.612864035189859,0.659830340548396,0.6714535383071754
4A06A,5.456071657138502,9.923664396386936,0.6844832556252014,0.6961064533839808
4A07A,,,,
4AW0A,5.026489972261116,4.4830556741222685,0.6572501961811235,0.6688733939399029
4AW1A,,,,
4AW2A,,,,
4CFEA,6.049389309476767,4.42568417953111,0.6656009572779671,0.6772241550367465
4CFEC,4.385420465935804,8.225530925137619,0.6547259655089351,0.6663491632677145
4CFFC,5.033557233733037,4.7180338671855795,0.6628575351959485,0.6744807329547279
4CNHB,4.69726041818211,6.335420973113104,0.6737254626696432,0.6853486604284226
4CT1A,5.069216434071827,6.92706752703738,0.651511822781243,0.6631350205400224
4CZTC,6.1643804621250515,5.768842240040927,0.6930028479929822,0.7046260457517616
4CZTD,5.931347758710543,6.5983434312173905,0.6787057830644142,0.6903289808231936
4CZUB,,,,
4CZUC,5.333932167472684,4.203428154470016,0.6798961172193657,0.6915193149781451
4CZUD,4.704700423510206,4.592354412671956,0.6563002399318144,0.6679234376905938
4D1ZA,6.412560192940005,5.90130282542608,0.6405994710537168,0.6522226688124962
4DLIA,5.4683851457685195,6.438223852580374,0.6630938620512628,0.6747170598100422
4DLJA,5.880254471331152,6.36290228133464,0.6585317261032769,0.6701549238620563
